"Word","Total_Frequency","Included_Frequency","ObsWithNgram","ObsPerct","IDF",1GRAMS,Min_1,Segmentation_None (),"200 Obs Included"
burst,249,249,127,63.5,0.197226274708024
trelawney,249,249,42,21,0.677780705266081
wrong,248,248,134,67,0.173925197299174
realize,245,245,113,56.5,0.247951552180562
straight,244,244,130,65,0.187086643357144
trunk,244,244,74,37,0.431798275933005
fleur,244,244,34,17,0.769551078621726
change,242,242,132,66,0.180456064458131
play,242,242,102,51,0.292429823902064
gold,242,242,100,50,0.301029995663981
memory,242,242,88,44,0.356547323513813
shall,241,241,104,52,0.283996656365201
cover,241,241,120,60,0.221848749616356
mark,241,241,109,54.5,0.263603497723358
trouble,240,240,118,59,0.229147988357856
maybe,239,239,109,54.5,0.263603497723358
parent,239,239,105,52.5,0.279840696594043
pain,237,237,91,45.5,0.341988603342888
happy,236,236,124,62,0.207608310501746
themselves,236,236,123,61.5,0.211124884224583
young,235,235,108,54,0.267606240177032
broom,235,235,63,31.5,0.501689446210399
finally,234,234,127,63.5,0.197226274708024
goyle,233,233,62,31,0.508638306165727
stair,233,233,107,53.5,0.271646217978772
bad,232,232,116,58,0.236572006437063
draco,232,232,76,38,0.42021640338319
snake,232,232,57,28.5,0.54515513999149
slip,231,231,128,64,0.193820026016113
hundred,229,229,107,53.5,0.271646217978772
spoke,229,229,126,63,0.200659450546418
crabbe,229,229,63,31.5,0.501689446210399
short,229,229,128,64,0.193820026016113
creature,229,229,97,48.5,0.314258261397736
horcrux,229,229,32,16,0.795880017344075
number,228,228,111,55.5,0.255707016877324
chance,228,228,119,59.5,0.22548303427145
least,227,227,130,65,0.187086643357144
darkness,227,227,98,49,0.309803919971486
beneath,227,227,111,55.5,0.255707016877324
low,227,227,126,63,0.200659450546418
above,227,227,116,58,0.236572006437063
portrait,227,227,89,44.5,0.351639989019068
d'you,226,226,105,52.5,0.279840696594043
kind,225,225,126,63,0.200659450546418
tonk,225,225,37,18.5,0.732828271596986
line,225,225,106,53,0.275724130399211
big,224,224,123,61.5,0.211124884224583
also,224,224,131,65.5,0.183758700008217
case,224,224,117,58.5,0.23284413391782
train,223,223,73,36.5,0.437707135543525
break,223,223,116,58,0.236572006437063
blood,223,223,93,46.5,0.332547047110046
match,222,222,90,45,0.346787486224656
edge,221,221,119,59.5,0.22548303427145
ago,221,221,124,62,0.207608310501746
real,220,220,121,60.5,0.218244625347531
golden,220,220,89,44.5,0.351639989019068
neck,219,219,116,58,0.236572006437063
dragon,219,219,61,30.5,0.515700160653214
touch,218,218,110,55,0.259637310505756
whose,218,218,130,65,0.187086643357144
snap,217,217,116,58,0.236572006437063
knock,217,217,120,60,0.221848749616356
tower,217,217,98,49,0.309803919971486
home,216,216,111,55.5,0.255707016877324
you-know-who,215,215,70,35,0.455931955649724
dream,215,215,80,40,0.397940008672038
instead,214,214,124,62,0.207608310501746
sink,213,213,117,58.5,0.23284413391782
sent,213,213,118,59,0.229147988357856
check,213,213,118,59,0.229147988357856
soon,212,212,114,57,0.244125144327509
explain,212,212,113,56.5,0.247951552180562
shock,212,212,119,59.5,0.22548303427145
land,212,212,112,56,0.2518119729938
fine,211,211,109,54.5,0.263603497723358
staircase,211,211,95,47.5,0.323306390375133
wing,211,211,89,44.5,0.351639989019068
ceiling,211,211,113,56.5,0.247951552180562
goblin,211,211,33,16.5,0.782516055786094
free,210,210,103,51.5,0.288192770958809
bagman,210,210,21,10.5,0.978810700930062
cho,210,210,35,17.5,0.756961951313706
thick,209,209,118,59,0.229147988357856
story,208,208,103,51.5,0.288192770958809
decide,208,208,122,61,0.214670164989233
power,208,208,91,45.5,0.341988603342888
ready,208,208,114,57,0.244125144327509
person,207,207,119,59.5,0.22548303427145
note,207,207,98,49,0.309803919971486
hurt,207,207,109,54.5,0.263603497723358
invisibility,207,207,80,40,0.397940008672038
s,206,206,86,43,0.366531544420414
running,206,206,120,60,0.221848749616356
within,206,206,113,56.5,0.247951552180562
thin,205,205,116,58,0.236572006437063
win,205,205,86,43,0.366531544420414
dean,205,205,68,34,0.468521082957745
chest,204,204,108,54,0.267606240177032
expression,204,204,115,57.5,0.24033215531037
elf,204,204,41,20.5,0.688246138944246
met,203,203,115,57.5,0.24033215531037
gasp,203,203,119,59.5,0.22548303427145
giant,203,203,85,42.5,0.371611069949688
christmas,203,203,58,29,0.537602002101044
except,202,202,127,63.5,0.197226274708024
clutch,202,202,116,58,0.236572006437063
hedwig,202,202,51,25.5,0.593459819566045
son,201,201,78,39,0.408935392973501
secret,201,201,95,47.5,0.323306390375133
pair,201,201,112,56,0.2518119729938
eat,200,200,101,50.5,0.296708621881339
mum,200,200,84,42,0.3767507096021
reckon,199,199,103,51.5,0.288192770958809
bellatrix,199,199,26,13,0.886056647693163
angry,198,198,116,58,0.236572006437063
bottle,198,198,81,40.5,0.392544976785331
allow,197,197,115,57.5,0.24033215531037
save,197,197,88,44,0.356547323513813
stupid,196,196,107,53.5,0.271646217978772
wormtail,196,196,25,12.5,0.903089986991944
fear,195,195,107,53.5,0.271646217978772
repeat,194,194,111,55.5,0.255707016877324
lift,194,194,96,48,0.318758762624413
longer,194,194,109,54.5,0.263603497723358
stride,193,193,118,59,0.229147988357856
picture,193,193,87,43.5,0.361510743045363
true,192,192,103,51.5,0.288192770958809
climb,192,192,110,55,0.259637310505756
brother,192,192,79,39.5,0.40340290437354
cross,192,192,108,54,0.267606240177032
art,192,192,88,44,0.356547323513813
woman,191,191,94,47,0.327902142064283
wide,190,190,102,51,0.292429823902064
walking,189,189,110,55,0.259637310505756
